O,SI,TI,AL,FE,MG,MN,CA,NA,K,H
1.200000000000000000e+01,2.776641000000000137e+00,5.069800000000000001e-02,1.311458999999999930e+00,2.188632000000000133e+00,6.642799999999999816e-01,8.290000000000000493e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.898605000000000098e+00
1.200000000000000000e+01,2.757544999999999913e+00,8.390999999999999848e-02,1.384571999999999914e+00,1.355874000000000024e+00,1.417367999999999961e+00,7.309999999999999875e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.832179999999999920e+00
1.200000000000000000e+01,2.640665999999999958e+00,6.462900000000000589e-02,1.577504999999999935e+00,1.654924000000000062e+00,1.050839000000000079e+00,1.143599999999999998e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.870741999999999905e+00
1.200000000000000000e+01,2.629675000000000207e+00,8.455799999999999428e-02,1.613668000000000102e+00,1.241988000000000092e+00,1.423624999999999918e+00,6.485999999999999578e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.830883999999999956e+00
1.200000000000000000e+01,2.793114000000000097e+00,7.688399999999999401e-02,1.311403000000000096e+00,1.518291999999999975e+00,1.296518000000000059e+00,3.788999999999999833e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.846230999999999955e+00
1.200000000000000000e+01,2.769625000000000004e+00,5.744799999999999907e-02,1.338948000000000027e+00,2.146113000000000159e+00,6.686750000000000194e-01,1.919099999999999973e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.885103999999999891e+00
1.200000000000000000e+01,2.755485999999999880e+00,6.555600000000000316e-02,1.370792000000000010e+00,1.929475000000000051e+00,8.706990000000000007e-01,7.990999999999999839e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.868886999999999965e+00
1.200000000000000000e+01,2.655304000000000109e+00,8.251500000000000501e-02,1.559971999999999914e+00,1.446706000000000047e+00,1.249729000000000090e+00,5.773000000000000353e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.834969999999999990e+00
1.200000000000000000e+01,2.839712000000000014e+00,5.505399999999999877e-02,1.231006999999999962e+00,1.797646999999999995e+00,1.062415000000000109e+00,1.416500000000000051e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.889893000000000045e+00
1.200000000000000000e+01,2.895700000000000163e+00,6.289799999999999558e-02,1.163386999999999949e+00,1.878454000000000068e+00,9.837439999999999518e-01,1.581600000000000020e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.874203999999999981e+00
1.200000000000000000e+01,2.746408000000000182e+00,6.069999999999999701e-02,1.386233000000000049e+00,1.899148999999999976e+00,8.960960000000000036e-01,1.141400000000000053e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.878598999999999908e+00
1.200000000000000000e+01,2.564642000000000088e+00,9.839499999999999635e-02,1.728034000000000070e+00,1.502482000000000095e+00,1.072524000000000033e+00,3.392200000000000076e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.803209000000000062e+00
1.200000000000000000e+01,2.912726000000000148e+00,5.679100000000000120e-02,1.123698000000000086e+00,1.883369000000000071e+00,1.004318999999999962e+00,1.909699999999999939e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.886417000000000010e+00
1.200000000000000000e+01,2.644239999999999924e+00,9.998200000000000143e-02,1.580778000000000016e+00,1.422255000000000047e+00,1.248223000000000082e+00,4.523000000000000111e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.800037000000000109e+00
1.200000000000000000e+01,2.676397999999999833e+00,8.042199999999999349e-02,1.516534000000000049e+00,1.463370999999999977e+00,1.260272999999999977e+00,3.003000000000000027e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.839155000000000095e+00
1.200000000000000000e+01,2.582689999999999930e+00,1.016210000000000030e-01,1.704976999999999965e+00,1.517487999999999948e+00,1.063755999999999924e+00,2.946700000000000014e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.796756999999999938e+00
1.200000000000000000e+01,2.611796000000000006e+00,7.854400000000000270e-02,1.638851000000000058e+00,1.654933999999999905e+00,1.007252000000000036e+00,8.623000000000000456e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.842913000000000023e+00
1.200000000000000000e+01,2.832014000000000031e+00,5.747300000000000325e-02,1.246774000000000049e+00,2.047569000000000194e+00,8.050059999999999993e-01,1.116400000000000031e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.885053000000000090e+00
1.200000000000000000e+01,2.876859000000000055e+00,4.924699999999999911e-02,1.168700999999999990e+00,2.300597999999999921e+00,5.860090000000000021e-01,1.858599999999999836e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.901505999999999919e+00
1.200000000000000000e+01,2.726211999999999858e+00,7.463300000000000489e-02,1.425642999999999994e+00,1.510100999999999916e+00,1.252434000000000047e+00,1.097599999999999965e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.850732999999999961e+00
1.200000000000000000e+01,2.567079000000000111e+00,1.045969999999999955e-01,1.732347999999999999e+00,1.418609000000000009e+00,1.162268000000000079e+00,1.509800000000000031e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.790807000000000038e+00
1.200000000000000000e+01,2.537303000000000086e+00,1.898100000000000134e-02,1.767554999999999987e+00,1.645321000000000033e+00,1.021349000000000062e+00,9.490999999999999437e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.962037999999999949e+00
