O,SI,TI,AL,FE,MG,MN,CA,NA,K,H
5.376479199999999992e+01,1.736126900000000006e+01,1.215740000000000015e-01,3.516976000000000102e+00,8.814149999999999485e-01,6.881979999999999764e-01,1.085500000000000007e-02,1.432839999999999947e-01,1.046408999999999923e+00,7.554990000000000316e-01,2.170972799999999836e+01
5.373257399999999961e+01,1.629843299999999928e+01,1.554699999999999971e-01,4.841161999999999743e+00,1.217848000000000042e+00,7.082519999999999927e-01,1.511499999999999996e-02,9.069099999999999384e-02,4.275419999999999776e-01,9.198640000000000150e-01,2.159304900000000060e+01
5.374034499999999781e+01,1.676206200000000024e+01,1.277230000000000032e-01,4.139102000000000281e+00,1.238267000000000007e+00,8.529320000000000235e-01,8.659000000000000030e-03,4.979000000000000092e-02,2.337990000000000068e-01,1.199300000000000033e+00,2.164802099999999996e+01
5.336546700000000243e+01,1.613324799999999826e+01,1.092540000000000039e-01,4.961439999999999628e+00,7.712080000000000046e-01,4.948589999999999933e-01,1.927999999999999853e-02,8.354799999999999727e-02,1.572408000000000028e+00,1.066837999999999953e+00,2.142245099999999880e+01
5.324091800000000063e+01,1.500818100000000044e+01,1.490450000000000108e-01,5.318097999999999992e+00,2.062869000000000064e+00,1.276602999999999932e+00,1.512100000000000076e-02,5.400200000000000139e-02,1.684859999999999969e-01,1.105957000000000079e+00,2.160072100000000006e+01
5.305579600000000084e+01,1.468052999999999919e+01,2.254249999999999865e-01,5.496074000000000126e+00,1.876393999999999895e+00,1.114243000000000094e+00,1.502799999999999969e-02,2.640689999999999982e-01,5.324320000000000164e-01,1.270966999999999958e+00,2.146904100000000071e+01
5.299356399999999923e+01,1.450889500000000076e+01,1.639780000000000126e-01,6.320623000000000324e+00,1.465157999999999960e+00,6.516539999999999555e-01,1.916599999999999901e-02,3.833299999999999902e-02,1.073312999999999962e+00,1.469416999999999973e+00,2.129589800000000110e+01
5.277034299999999689e+01,1.483367499999999950e+01,1.694529999999999925e-01,5.153115999999999808e+00,1.320866000000000096e+00,9.450279999999999792e-01,2.824199999999999974e-02,5.691889999999999450e-01,1.251346999999999987e+00,1.233967000000000036e+00,2.172477299999999900e+01
5.302587499999999920e+01,1.560593500000000056e+01,1.476349999999999885e-01,4.659201000000000370e+00,1.146346000000000087e+00,8.792990000000000528e-01,1.519799999999999970e-02,3.430349999999999788e-01,1.463327999999999962e+00,1.003052999999999972e+00,2.171109500000000025e+01
5.302197699999999969e+01,1.381546900000000022e+01,1.670599999999999863e-02,7.471546000000000021e+00,1.476350999999999969e+00,9.188039999999999541e-01,8.352999999999999314e-03,7.517500000000000571e-02,6.055749999999999744e-01,1.708139999999999992e+00,2.088190600000000074e+01
5.318889699999999721e+01,1.493867000000000012e+01,1.280270000000000019e-01,5.974613999999999869e+00,1.235465000000000035e+00,6.465389999999999748e-01,2.347199999999999981e-02,3.883499999999999730e-01,1.216261000000000037e+00,9.217980000000000063e-01,2.133790799999999876e+01
5.345773400000000208e+01,1.495139099999999921e+01,2.033339999999999870e-01,6.477030000000000065e+00,1.186113999999999891e+00,6.142379999999999507e-01,1.059000000000000045e-02,2.541699999999999862e-02,3.261809999999999987e-01,1.567364999999999897e+00,2.118060699999999841e+01
5.353081399999999945e+01,1.653785699999999892e+01,9.982199999999999407e-02,4.314034999999999620e+00,8.311239999999999739e-01,6.553510000000000169e-01,3.255099999999999660e-02,4.491979999999999862e-01,8.115940000000000376e-01,1.037277999999999922e+00,2.170037599999999856e+01
5.363880400000000037e+01,1.576482400000000084e+01,1.609089999999999965e-01,5.466625999999999763e+00,1.506110999999999978e+00,4.891639999999999877e-01,4.290999999999999676e-03,5.578199999999999825e-02,1.373089999999999866e-01,1.321601999999999943e+00,2.145457700000000045e+01
5.328952000000000311e+01,1.457408000000000037e+01,2.177149999999999919e-01,6.416180999999999912e+00,1.592305999999999999e+00,8.580520000000000369e-01,1.280700000000000068e-02,3.842000000000000276e-02,4.781190000000000162e-01,1.178220999999999963e+00,2.134458100000000158e+01
5.246362899999999740e+01,1.414655300000000082e+01,2.041320000000000079e-01,4.978182000000000329e+00,1.659394000000000036e+00,1.885475000000000012e+00,1.755999999999999922e-02,6.541000000000000147e-01,8.648160000000000291e-01,1.176501999999999937e+00,2.194965600000000094e+01
5.379554999999999865e+01,1.620357600000000176e+01,1.617119999999999946e-01,5.062674000000000341e+00,1.192358999999999947e+00,6.727229999999999599e-01,1.509300000000000051e-02,1.660250000000000059e-01,2.156160000000000021e-01,9.530250000000000110e-01,2.156164499999999862e+01
5.310485500000000059e+01,1.563026600000000066e+01,1.456709999999999949e-01,4.674513000000000140e+00,1.134927999999999937e+00,6.739990000000000148e-01,1.739399999999999974e-02,6.979159999999999808e-01,1.087096000000000062e+00,1.091444000000000081e+00,2.174191899999999933e+01
5.383779400000000237e+01,1.765272399999999919e+01,4.304000000000000187e-02,3.847747000000000028e+00,3.765970000000000151e-01,1.958310000000000051e-01,4.303999999999999666e-03,1.162070000000000047e-01,8.005379999999999718e-01,1.605380000000000029e+00,2.151983900000000105e+01
5.402675299999999936e+01,1.692771000000000114e+01,6.207700000000000023e-02,4.897648000000000224e+00,6.122060000000000279e-01,5.544099999999999584e-01,8.562000000000000166e-03,7.920099999999999363e-02,3.553359999999999852e-01,1.070289999999999964e+00,2.140580500000000086e+01
5.319306600000000174e+01,1.390258900000000075e+01,2.370720000000000049e-01,7.230700999999999823e+00,1.693373000000000017e+00,7.408500000000000085e-01,1.693400000000000113e-02,7.831799999999999873e-02,5.757470000000000088e-01,1.164193999999999951e+00,2.116715699999999956e+01
5.312922300000000320e+01,1.511046900000000015e+01,1.513430000000000053e-01,5.396442000000000405e+00,1.457211999999999952e+00,1.124258999999999897e+00,2.161999999999999859e-03,7.999499999999999666e-02,2.940369999999999928e-01,1.634498999999999924e+00,2.162035900000000055e+01
5.321821700000000277e+01,1.551839700000000022e+01,1.553779999999999883e-01,5.140427999999999997e+00,1.102754000000000012e+00,1.001325999999999938e+00,6.473999999999999720e-03,1.316400000000000070e-01,8.934250000000000247e-01,1.251657999999999937e+00,2.158030400000000171e+01
